                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.1992,                 1.0562,                 1.3822,                0.77584,                0.74372,                0.82492,                0.57334,                 1.0872,                0.94273,                 1.2955,               0.003466,               0.003466,               0.003466
                     69,                 1.1847,                 1.0318,                 1.3755,                0.79481,                0.74821,                0.83285,                0.58204,                 1.0734,                0.92765,                 1.2851,               0.003367,               0.003367,               0.003367
                     70,                 1.1806,                 1.0359,                 1.3715,                0.76093,                0.76709,                0.82913,                0.57495,                 1.0867,                0.92651,                 1.2946,               0.003268,               0.003268,               0.003268
                     71,                 1.1734,                 1.0322,                 1.3704,                0.79246,                 0.7412,                 0.8273,                0.57551,                  1.088,                0.93018,                 1.2935,               0.003169,               0.003169,               0.003169
                     72,                 1.1713,                 1.0204,                 1.3644,                0.76416,                0.76653,                0.83012,                0.58188,                 1.0835,                0.91809,                  1.289,                0.00307,                0.00307,                0.00307
                     73,                 1.1669,                 1.0087,                 1.3594,                0.79283,                0.75506,                0.83529,                0.58517,                 1.0664,                0.90247,                 1.2805,               0.002971,               0.002971,               0.002971
                     74,                 1.1592,                 1.0015,                 1.3513,                0.78623,                0.75382,                0.83467,                0.58551,                   1.07,                0.91267,                 1.2822,               0.002872,               0.002872,               0.002872
                     75,                 1.1549,                0.99662,                 1.3497,                0.78484,                0.77251,                0.84475,                0.59589,                 1.0603,                0.89145,                  1.278,               0.002773,               0.002773,               0.002773
                     76,                 1.1516,                0.99735,                 1.3482,                0.80156,                 0.7604,                0.84651,                0.59736,                 1.0537,                0.89272,                 1.2685,               0.002674,               0.002674,               0.002674
                     77,                  1.144,                0.98203,                 1.3475,                0.80035,                0.75339,                0.83998,                0.59789,                 1.0456,                0.89363,                 1.2673,               0.002575,               0.002575,               0.002575
                     78,                 1.1391,                0.97174,                 1.3435,                0.81066,                0.76253,                0.84488,                0.60229,                 1.0425,                0.87809,                 1.2618,               0.002476,               0.002476,               0.002476
                     79,                 1.1366,                0.97399,                 1.3405,                0.80567,                0.76256,                0.84921,                0.60338,                 1.0438,                0.87416,                 1.2623,               0.002377,               0.002377,               0.002377
