                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.1674,                 1.0096,                 1.4383,                0.78043,                0.75874,                0.83778,                0.58851,                 1.0709,                0.90741,                 1.3696,               0.003961,               0.003961,               0.003961
                     64,                 1.1501,                0.99627,                 1.4297,                0.78667,                 0.7543,                0.84055,                0.58964,                 1.0754,                 0.8975,                 1.3695,               0.003862,               0.003862,               0.003862
                     65,                 1.1503,                0.98169,                 1.4217,                 0.8069,                0.75733,                0.84986,                0.60126,                 1.0514,                0.87635,                   1.36,               0.003763,               0.003763,               0.003763
                     66,                 1.1375,                0.97242,                 1.4128,                0.77823,                0.79005,                  0.842,                0.59437,                 1.0674,                0.89391,                 1.3727,               0.003664,               0.003664,               0.003664
                     67,                 1.1395,                0.97646,                 1.4148,                0.79791,                0.76482,                0.85179,                0.60677,                 1.0537,                0.86733,                 1.3582,               0.003565,               0.003565,               0.003565
                     68,                 1.1452,                0.97489,                 1.4138,                0.80129,                0.77457,                0.85179,                 0.6078,                 1.0482,                0.86635,                 1.3534,               0.003466,               0.003466,               0.003466
                     69,                 1.1256,                0.94658,                 1.3986,                0.80397,                0.78665,                 0.8585,                0.61086,                 1.0414,                0.86139,                 1.3513,               0.003367,               0.003367,               0.003367
                     70,                 1.1225,                  0.954,                 1.4002,                0.80678,                0.78528,                0.85959,                0.61603,                 1.0311,                0.85967,                 1.3436,               0.003268,               0.003268,               0.003268
                     71,                 1.1175,                0.95069,                 1.4033,                0.81058,                0.78436,                 0.8589,                 0.6168,                 1.0369,                0.84799,                 1.3527,               0.003169,               0.003169,               0.003169
                     72,                 1.1159,                0.94176,                 1.3989,                 0.8014,                0.78882,                0.85421,                0.61044,                  1.033,                0.85847,                 1.3475,                0.00307,                0.00307,                0.00307
                     73,                  1.108,                 0.9279,                 1.3854,                0.81429,                0.77494,                0.85484,                0.61023,                 1.0296,                0.85223,                 1.3406,               0.002971,               0.002971,               0.002971
                     74,                 1.0985,                0.91943,                 1.3799,                0.81441,                0.78632,                0.85949,                0.61811,                   1.02,                0.84994,                 1.3344,               0.002872,               0.002872,               0.002872
                     75,                  1.095,                0.91629,                 1.3767,                0.81002,                 0.8027,                 0.8652,                0.62475,                 1.0159,                0.82983,                 1.3379,               0.002773,               0.002773,               0.002773
                     76,                  1.095,                0.91758,                 1.3773,                0.82546,                0.78551,                0.86491,                0.62365,                  1.017,                0.83743,                 1.3373,               0.002674,               0.002674,               0.002674
                     77,                 1.0887,                0.89876,                 1.3772,                0.81539,                0.80129,                0.86657,                0.62856,                 1.0071,                0.82521,                 1.3303,               0.002575,               0.002575,               0.002575
                     78,                 1.0782,                0.89269,                 1.3712,                0.81073,                0.80884,                0.86945,                0.63333,                 1.0027,                0.81533,                  1.332,               0.002476,               0.002476,               0.002476
                     79,                 1.0761,                0.89107,                 1.3717,                0.83242,                0.78549,                0.86957,                0.63231,                 1.0006,                0.81789,                 1.3272,               0.002377,               0.002377,               0.002377
                     80,                 1.0699,                0.88475,                  1.358,                0.82066,                0.80112,                0.87106,                0.63967,                0.99458,                0.80694,                 1.3208,               0.002278,               0.002278,               0.002278
